Cluster,0,1,total_transactions,Fraud_Amount,Min_Amount,Max_Amount,Avg_Amount,Std_Amount,25%_Amount,50%_Amount,75%_Amount,95%_Amount
-1,15167,28,15195,4367.36,0.0,25691.16,163.28,412.69,10.48,42.8,160.34,685.08
1114,4160,0,4160,0.0,0.0,390.0,21.54,33.35,2.69,9.24,24.82,88.24
1057,3167,0,3167,0.0,0.0,853.71,61.74,105.48,4.49,19.99,68.1,283.83
1105,3058,0,3058,0.0,0.0,390.48,22.03,34.7,2.69,8.98,25.0,94.3
970,2946,0,2946,0.0,0.0,1542.72,68.84,134.22,3.98,22.69,73.79,291.01
1040,2362,0,2362,0.0,0.0,826.0,50.61,90.86,1.98,14.99,54.98,223.95
974,2153,0,2153,0.0,0.0,742.45,51.07,81.95,2.54,18.45,60.0,216.8
1029,800,0,800,0.0,0.01,667.96,44.58,80.38,1.98,11.93,48.8,187.13
1053,685,0,685,0.0,0.01,256.79,21.59,31.62,3.4,9.99,25.55,85.25
955,666,0,666,0.0,0.31,513.41,39.73,75.0,1.79,7.44,42.48,210.41
626,634,0,634,0.0,0.0,1157.32,89.01,127.57,17.99,41.68,101.26,335.0
1003,609,0,609,0.0,0.11,252.6,19.32,29.36,2.69,8.93,20.5,80.49
614,571,0,571,0.0,0.0,736.87,83.83,105.87,19.95,46.8,97.45,309.57
535,553,0,553,0.0,1.0,905.36,98.04,120.49,20.8,54.0,126.0,338.32
618,495,0,495,0.0,0.02,578.0,72.26,91.45,15.0,29.99,84.0,274.84
518,435,0,435,0.0,0.01,598.61,74.29,80.55,19.99,45.94,103.72,234.78
616,421,0,421,0.0,0.02,577.76,82.04,102.32,15.0,40.0,100.0,338.0
536,416,0,416,0.0,1.0,662.32,111.83,115.76,33.4,66.03,147.86,359.81
522,405,0,405,0.0,1.0,569.97,115.53,117.58,31.9,75.9,158.0,359.99
475,403,0,403,0.0,0.01,661.0,88.93,112.01,18.13,46.8,114.54,328.04
515,392,0,392,0.0,0.95,774.79,129.29,138.95,34.99,77.88,180.0,407.75
386,364,0,364,0.0,0.01,282.27,26.58,39.62,3.76,10.0,34.92,93.03
527,354,0,354,0.0,1.0,981.95,107.86,132.15,29.96,59.21,140.99,316.72
331,329,0,329,0.0,0.0,349.51,43.38,61.86,1.98,17.18,59.85,169.23
349,329,0,329,0.0,0.01,474.59,55.59,76.84,6.87,27.68,70.01,227.76
957,320,0,320,0.0,0.0,540.7,42.96,76.56,4.67,12.37,48.92,153.94
480,314,0,314,0.0,0.01,350.0,54.78,62.07,15.0,29.95,70.5,194.15
998,284,0,284,0.0,1.0,600.0,58.18,108.12,1.0,4.84,64.01,303.62
931,264,0,264,0.0,0.0,302.74,40.04,56.29,5.46,15.58,54.68,156.48
950,259,0,259,0.0,0.0,368.54,35.19,54.67,6.03,12.14,40.11,151.24
482,252,0,252,0.0,2.0,332.7,55.87,62.91,15.0,28.2,75.0,187.0
775,247,0,247,0.0,0.0,1603.42,174.26,299.16,10.0,49.99,179.06,812.0
543,224,0,224,0.0,1.0,305.3,51.86,53.28,15.0,29.18,72.1,158.0
883,213,0,213,0.0,0.0,432.47,38.29,67.94,4.95,12.13,38.0,155.77
896,207,0,207,0.0,1.0,603.06,87.71,134.8,1.0,19.99,120.0,388.65
237,205,0,205,0.0,0.77,231.7,29.36,38.53,9.66,15.95,37.34,101.1
372,192,0,192,0.0,0.0,531.7,54.87,85.15,1.98,22.16,74.2,231.73
253,143,0,143,0.0,1.0,264.82,27.08,34.72,14.72,15.95,33.1,76.23
255,137,0,137,0.0,0.89,223.8,22.29,33.82,2.69,11.99,24.99,90.82
